Packet,Latitude,Longitude
2,40.46821594238281,39.480220794677734
3,40.46821594238281,39.480220794677734
4,40.46821594238281,39.480220794677734
5,40.46821594238281,39.480220794677734
6,40.46821594238281,39.480220794677734
7,40.46821594238281,39.480220794677734
8,40.46821594238281,39.480220794677734
9,40.46821594238281,39.480220794677734
10,40.46821594238281,39.480220794677734
11,40.46821594238281,39.480220794677734
12,40.46821594238281,39.480220794677734
13,40.46821594238281,39.480220794677734
14,40.46821594238281,39.480220794677734
15,40.46821594238281,39.480220794677734
16,40.46821594238281,39.480220794677734
17,40.46821594238281,39.480220794677734
18,40.46821212768555,39.48021697998047
19,40.46821212768555,39.48021697998047
