Packet,Latitude,Longitude
1,1.0329614497095463e-08,1.355585268062521e-19
2,40.468597412109375,39.479915618896484
3,40.468597412109375,39.47991180419922
4,40.468597412109375,39.47991180419922
5,40.46860122680664,39.47991180419922
6,40.46860122680664,39.47991180419922
7,40.46860122680664,39.47990798950195
8,40.46860122680664,39.47990798950195
9,40.468597412109375,39.47990798950195
10,40.468597412109375,39.47990798950195
11,40.468597412109375,39.47990417480469
12,40.468597412109375,39.47990417480469
13,40.46860122680664,39.47990417480469
14,40.46860122680664,39.47990417480469
15,40.468597412109375,39.47990417480469
16,40.468597412109375,39.47990417480469
17,40.468597412109375,39.47990417480469
18,40.468597412109375,39.47990417480469
19,40.468597412109375,39.47990417480469
20,40.468597412109375,39.47990417480469
21,40.468597412109375,39.47990417480469
22,40.468597412109375,39.47990417480469
23,40.468597412109375,39.47990417480469
24,40.468597412109375,39.47990417480469
25,40.468597412109375,39.47990417480469
26,40.468597412109375,39.47990417480469
27,40.468597412109375,39.47990417480469
28,40.468597412109375,39.47990417480469
29,40.468597412109375,39.47990417480469
