Packet,Latitude,Longitude
1,40.440643310546875,39.51642990112305
2,40.440643310546875,39.51642990112305
3,40.440643310546875,39.51642990112305
4,40.440643310546875,39.51642990112305
5,40.440643310546875,39.51642990112305
6,40.440643310546875,39.51642990112305
7,40.440643310546875,39.51642990112305
8,40.440643310546875,39.51642990112305
9,40.440643310546875,39.51642990112305
10,40.440643310546875,39.51642990112305
11,40.440643310546875,39.51642990112305
12,40.440643310546875,39.51642990112305
13,40.440643310546875,39.51642990112305
14,40.440643310546875,39.51642990112305
15,40.440643310546875,39.51642990112305
16,40.44064712524414,39.51642990112305
17,40.44064712524414,39.51642990112305
18,40.44064712524414,39.51642990112305
19,40.44064712524414,39.51642990112305
20,40.440650939941406,39.516422271728516
21,40.440650939941406,39.516422271728516
22,40.44065475463867,39.51643371582031
23,40.44065475463867,39.51643371582031
24,40.4406623840332,39.51644515991211
25,40.4406623840332,39.51644515991211
26,40.440673828125,39.51646041870117
27,40.440673828125,39.51646041870117
28,40.44068145751953,39.516475677490234
29,40.44068145751953,39.516475677490234
30,40.4406852722168,39.51648712158203
31,40.4406852722168,39.51648712158203
32,40.44068908691406,39.516502380371094
33,40.44068908691406,39.516502380371094
34,40.440696716308594,39.516517639160156
35,40.440696716308594,39.516517639160156
36,40.440696716308594,39.51652908325195
37,40.440696716308594,39.51652908325195
38,40.44070053100586,39.516544342041016
39,40.44070053100586,39.516544342041016
40,40.440704345703125,39.51655578613281
41,40.440704345703125,39.51655578613281
42,40.440704345703125,39.51656723022461
43,40.440704345703125,39.51656723022461
44,40.440704345703125,39.51658248901367
45,40.440704345703125,39.51658248901367
46,40.44070816040039,39.516597747802734
47,40.44070816040039,39.516597747802734
48,40.44070816040039,39.51660919189453
49,40.44070816040039,39.51660919189453
50,40.440711975097656,39.516624450683594
51,40.440711975097656,39.516624450683594
52,40.440711975097656,39.516632080078125
53,40.440711975097656,39.516632080078125
54,40.440711975097656,39.516639709472656
55,40.440711975097656,39.516639709472656
56,40.44071578979492,39.516639709472656
57,40.44071578979492,39.516639709472656
58,40.440731048583984,39.516639709472656
59,40.440731048583984,39.516639709472656
60,40.44074249267578,39.51664352416992
61,40.44074249267578,39.51664352416992
62,40.44075012207031,39.51664733886719
63,40.44075012207031,39.51664733886719
64,40.440765380859375,39.51665496826172
65,40.440765380859375,39.51665496826172
66,40.44077682495117,39.51666259765625
67,40.44077682495117,39.51666259765625
68,40.44078826904297,39.516666412353516
69,40.44078826904297,39.516666412353516
70,40.440799713134766,39.51667785644531
71,40.440799713134766,39.51667785644531
72,40.44080352783203,39.51668930053711
73,40.44080352783203,39.51668930053711
74,40.4408073425293,39.516700744628906
75,40.4408073425293,39.516700744628906
76,40.4408073425293,39.5167121887207
77,40.4408073425293,39.5167121887207
78,40.44081115722656,39.5167236328125
79,40.44081115722656,39.5167236328125
80,40.44081115722656,39.5167350769043
81,40.44081115722656,39.5167350769043
82,40.4408073425293,39.51675033569336
83,40.4408073425293,39.51675033569336
84,40.4408073425293,39.51676559448242
85,40.4408073425293,39.51676559448242
86,40.44080352783203,39.51677703857422
87,40.44080352783203,39.51677703857422
88,40.440799713134766,39.516788482666016
89,40.440799713134766,39.516788482666016
90,40.440792083740234,39.51679992675781
91,40.440792083740234,39.51679992675781
92,40.4407844543457,39.516807556152344
93,40.4407844543457,39.516807556152344
94,40.44077682495117,39.516815185546875
95,40.44077682495117,39.516815185546875
96,40.44076919555664,39.516822814941406
97,40.44076919555664,39.516822814941406
98,40.44076156616211,39.51682662963867
99,40.44076156616211,39.51682662963867
100,40.44074630737305,39.51683044433594
101,40.44074630737305,39.51683044433594
102,40.44073486328125,39.51683044433594
103,40.44073486328125,39.51683044433594
104,40.44072723388672,39.51683044433594
105,40.44072723388672,39.51683044433594
106,40.44071578979492,39.51682662963867
107,40.44071578979492,39.51682662963867
108,40.44070816040039,39.516822814941406
109,40.44070816040039,39.516822814941406
110,40.440696716308594,39.516815185546875
111,40.440696716308594,39.516815185546875
112,40.44068908691406,39.51681137084961
113,40.44068908691406,39.51681137084961
114,40.44068145751953,39.51680374145508
115,40.44068145751953,39.51680374145508
116,40.440673828125,39.51679229736328
117,40.440673828125,39.51679229736328
118,40.44066619873047,39.51678466796875
119,40.44066619873047,39.51678466796875
120,40.44065856933594,39.51676940917969
121,40.44065856933594,39.51676940917969
122,40.44065475463867,39.516754150390625
123,40.44065475463867,39.516754150390625
124,40.440650939941406,39.51674270629883
125,40.440650939941406,39.51674270629883
126,40.440650939941406,39.516727447509766
127,40.440650939941406,39.516727447509766
128,40.440650939941406,39.51671600341797
129,40.440650939941406,39.51671600341797
130,40.440650939941406,39.51670455932617
131,40.440650939941406,39.51670455932617
132,40.44065475463867,39.51668930053711
133,40.44065475463867,39.51668930053711
134,40.44065856933594,39.51667785644531
135,40.44065856933594,39.51667785644531
136,40.4406623840332,39.51666259765625
137,40.4406623840332,39.51666259765625
138,40.440673828125,39.51664733886719
139,40.440673828125,39.51664733886719
140,40.44068145751953,39.516639709472656
141,40.44068145751953,39.516639709472656
142,40.4406852722168,39.516632080078125
143,40.4406852722168,39.516632080078125
144,40.44069290161133,39.516624450683594
145,40.44069290161133,39.516624450683594
146,40.440704345703125,39.51661682128906
147,40.440704345703125,39.51661682128906
148,40.440711975097656,39.5166130065918
149,40.440711975097656,39.5166130065918
150,40.44072341918945,39.51660919189453
151,40.44072341918945,39.51660919189453
152,40.440731048583984,39.5166130065918
153,40.440731048583984,39.5166130065918
154,40.44073486328125,39.51662063598633
155,40.44073486328125,39.51662063598633
156,40.44073486328125,39.516632080078125
157,40.44073486328125,39.516632080078125
158,40.44073486328125,39.51664733886719
159,40.44073486328125,39.51664733886719
160,40.44073486328125,39.51665496826172
161,40.44073486328125,39.51665496826172
